"Fecha de Emisión";"Tipo de Comprobante";"Punto de Venta";"Número de Comprobante";"Número de Comprobante Hasta";"Tipo Doc. Comprador";"Nro. Doc. Comprador";"Denominación Comprador";"Fecha de Vencimiento del Pago";"Importe Total";"Moneda Original";"Tipo de Cambio";"Importe No Gravado";"Importe Exento";"Importe de Per. o Pagos a Cta. de Otros Imp. Nac.";"Importe de Percepciones de Ingresos Brutos";"Importe de Impuestos Municipales";"Percepción a No Categorizados";"Importe de Impuestos Internos";"Importe Otros Tributos";"Neto Gravado IVA 0%";"Neto Gravado IVA 2,5%";"Importe IVA 2,5%";"Neto Gravado IVA 5%";"Importe IVA 5%";"Neto Gravado IVA 10,5%";"Importe IVA 10,5%";"Neto Gravado IVA 21%";"Importe IVA 21%";"Neto Gravado IVA 27%";"Importe IVA 27%";"Total Neto Gravado";"Total IVA"
2023-01-17;1;1;387;387;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-01-17;1034396,61;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;854873,24;179523,38;;;854873,24;179523,40
2023-01-17;1;1;385;385;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-01-17;2104544,93;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1739293,33;365251,60;;;1739293,33;365251,60
2023-01-17;1;1;386;386;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-01-17;1551825,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1282500,00;269325,00;;;1282500,00;269325,00
2023-01-18;1;1;389;389;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-01-18;1551825,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1282500,00;269325,00;;;1282500,00;269325,00
2023-01-18;1;1;388;388;80;30717364089;"BRICONS SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL FINANCIERA E INMOBILIARIA -PROBA S.A. - TECNIPISOS S.A";2023-01-18;2104544,93;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1739293,33;365251,60;;;1739293,33;365251,60
2023-01-18;3;1;35;35;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-01-18;-3656369,93;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;-3021793,33;-634576,60;;;-3021793,33;-634576,60
2023-01-25;1;1;390;390;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-01-25;683650,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;565000,00;118650,00;;;565000,00;118650,00
2023-01-25;1;1;391;391;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-01-25;627687,50;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;518750,00;108937,50;;;518750,00;108937,50
2023-01-26;1;1;392;392;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-02-26;865150,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;715000,00;150150,00;;;715000,00;150150,00
2023-01-26;1;1;394;394;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-02-26;1887600,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;1560000,00;327600,00;;;1560000,00;327600,00
2023-01-26;1;1;396;396;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-02-26;181608,90;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;150090,00;31518,90;;;150090,00;31518,90
2023-01-26;1;1;395;395;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-02-26;338800,00;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;280000,00;58800,00;;;280000,00;58800,00
2023-01-26;1;1;393;393;80;30717384934;"CENTRO CONTRUCCIONES S.A. - BASAA S.A. - UT MERLO U. T. E.";2023-02-26;214454,39;"PES";1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;177235,05;37219,36;;;177235,05;37219,40
